asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,has_variations,sales_volume_clean,has_discounts
B0BQ118F2T,moto g play 2023 3-day battery unlocked made for us 3/32gb 16mp camera navy blue,99.0,169.99,4.0,1319,16,69.88,False,False,True,False,4K+ bought in past month,False,4000.0,True
B0CV2W1TKZ,"samsung galaxy a15 (sm-155m/dsn), 128gb 6gb ram, dual sim, factory unlocked gsm, international version (ring grip case bundle) (light blue)",153.99,153.99,4.2,186,4,147.5,False,False,True,False,1K+ bought in past month,False,1000.0,False
B09SM24S8C,"samsung galaxy a03s cell phone, at&amp;t gsm unlocked android smartphone, 32gb, long lasting battery, expandable storage, 3 camera lenses, infinite display - black (renewed)",69.0,99.99,3.8,597,35,64.99,False,False,True,False,2K+ bought in past month,True,2000.0,True
B0CHH1N9VY,tracfone | motorola moto g pure | locked | 32gb | 4000 mah battery | 13 mp dual camera system | 6.5&quot; max vision hd+ display | blue,49.99,49.99,4.2,2814,3,43.99,False,False,True,False,500+ bought in past month,False,500.0,False
B09T3MQSVP,"samsung galaxy a13 5g cell phone, at&amp;t gsm unlocked android smartphone, 64gb, long lasting battery, expandable storage, triple lens camera, infinite display, black (renewed)",88.09,98.27,3.8,1338,31,70.4,False,False,True,False,500+ bought in past month,False,500.0,True
B0BZG14KFJ,"panasonic cordless phone with answering machine, advanced call block, bilingual caller id and easy to read high-contrast display, expandable system with 2 handsets - kx-tgd832m (metallic black)",49.99,59.99,4.4,3843,3,25.19,False,True,True,False,4K+ bought in past month,False,4000.0,True
B0C2SWQBMB,"motorola moto g 5g | 2023 | unlocked | made for us 4/128gb | 48 mpcamera | ink blue, 163.94x74.98x8.39",149.99,249.99,4.2,2637,8,100.72,False,False,True,False,2K+ bought in past month,True,2000.0,True
B0CTD47P22,samsung galaxy a15 a155m 128gb dual-sim gsm unlocked android smartphone (latin america version) - light blue,149.5,158.0,4.2,253,9,146.5,False,False,True,False,500+ bought in past month,False,500.0,True
B0CSB14R7J,samsung galaxy a15 a155m 128gb dual-sim gsm unlocked android smartphone (latin america version) - blue black,139.99,139.99,4.3,573,15,136.62,False,False,True,False,1K+ bought in past month,False,1000.0,False
B0CHK6LWKZ,tracfone | samsung galaxy a03s | locked | 32gb | 5000mah battery | 48mp main camera | 6.5-in. hd+infinity-v display | black,59.99,59.99,4.0,258,4,50.48,False,False,True,False,1K+ bought in past month,False,1000.0,False
